POPEST2016,x,y
1803,-82.6004408636,38.404811662
2422,-85.9569243634,37.1367241658
445,-86.9961112841,37.4172754731
5857,-87.1233344119,37.2939392434
885,-86.221366366,37.4953403231
1150,-87.8200213244,37.4767189453
1098,-83.9185366175,37.8592551978
1321,-88.9934021961,36.6672881353
1155,-86.6327666098,37.833397369
6227,-84.4399451569,39.021735799
4885,-85.3063550728,37.102848088
160,-89.1034055345,36.7597860474
34,-83.4910282489,38.686192578
7398,-84.0968804088,36.9487057091
233,-84.5641144535,38.4967449928
702,-87.7039110108,37.743382802
40797,-84.5085582817,39.0836787078
831,-84.5066088636,37.4645338935
4009,-84.5816152015,39.0514566981
483,-84.4174446499,39.0253470015
3332,-84.5849484,39.0272903937
4910,-85.4724641078,38.3242428182
3876,-84.6052251874,38.7828511464
731,-87.485007497,37.0478287781
2059,-82.9884994827,36.9781546613
6383,-84.2941057671,38.3903599846
16802,-84.7721747547,37.6456401178
2719,-87.6925127645,37.1672753924
5413,-84.4727243741,39.1128452151
907,-87.6902939906,37.5178288591
246,-83.8829856721,38.7581347739
506,-87.0488898835,37.2175495315
2219,-84.5899471755,38.6820197268
1385,-87.5119488207,37.2742187213
2572,-88.0803064709,37.0945040599
8748,-84.5818925987,39.0186793918
1585,-85.6121953529,36.98006335
146,-86.1794194848,37.9292421091
29906,-85.8591333747,37.6939591784
932,-82.3509833148,37.3040043536
2136,-87.154172686,36.810049447
8520,-84.604670905,39.0125682892
2566,-85.1805152264,38.3700756409
18813,-84.6007819043,39.0167349906
325,-84.6585599954,37.2784185508
264,-83.8632600414,38.427305812
114,-85.3835701534,37.9336799465
2139,-84.3302186988,38.6767446385
941,-84.599945763,37.0667515114
7311,-82.7171121061,38.5225879804
2864,-83.7338119026,38.4223069156
32460,-84.626615711,38.9989573867
532,-86.7174924199,37.6361709279
8286,-84.5474477922,39.0595122015
16445,-84.4471678632,39.0750682095
5766,-84.5341141873,39.0517347008
27885,-84.8732882229,38.2009128217
8823,-86.5772227137,36.7222699565
389,-88.0566931719,37.2081143832
535,-83.625749437,37.9509233284
2211,-88.874231652,36.5042345086
363,-85.7966483836,36.6397852746
153,-83.9646534879,38.6548024511
320,-85.0582882179,38.7375699162
14594,-85.911926341,36.9958910401
358,-84.8227301462,38.7145167231
372,-88.2344801067,37.0031178349
77,-84.9527330672,38.4736855713
4043,-82.9485063618,38.3325886337
2128,-85.4988595399,37.26090071
1153,-82.830171744,38.5731423853
4366,-87.1788906205,37.2011609226
1407,-87.1663968778,36.6483846152
729,-87.480838922,37.4172741501
612,-88.2953189063,36.7647841859
2326,-86.4605387562,37.7800663674
1606,-83.3218520731,36.8431512207
8419,-84.8432897827,37.7623052378
2771,-86.9091647604,37.4511661839
1015,-86.7549931499,37.9000625765
5300,-83.1932324616,37.249547208
406,-88.3258796967,36.5022851345
28841,-87.5900187853,37.8361609253
2183,-89.1861848435,36.5711789074
7155,-84.4518899613,39.0331244012
733,-82.9804454047,37.3359385341
3226,-85.7399654314,37.5739568606
31811,-87.4886238845,36.8656078431
397,-84.8157872545,37.4731386827
351,-83.3732414089,37.1609325821
27024,-84.5441135814,38.9431257793
672,-82.538767208,37.8664906591
2398,-83.9738173231,37.7006452639
1178,-86.2838672116,37.8803500953
457,-87.143890528,37.4450530713
2117,-83.3835176382,37.5531529597
1806,-85.0630145944,36.9847970745
1715,-83.8418674025,37.9736990239
2070,-82.6309930895,37.1734444162
2299,-84.7938422563,37.5867505058
112,-84.5191138829,39.0509014016
605,-88.8867331977,37.0850606204
660,-88.1325311826,37.0589494502
986,-88.9736819217,37.0767268138
168,-87.6583541187,36.6583888951
2770,-84.5691147966,39.0356236958
232,-83.504357116,38.1514778737
3866,-84.5780001956,37.6195318213
11169,-84.896621718,38.0373039897
5638,-85.2527427899,37.5697940819
1927,-85.7319090485,37.8345158113
6874,-86.2938686854,37.4800615165
795,-86.9472245386,36.9864405916
1720,-86.9022197946,37.9370045764
2155,-84.93940248,37.318413547
1347,-87.1319461275,37.4931096809
224,-84.2149382666,37.2978705737
8157,-84.0832689157,37.1289842457
709,-85.4007999366,37.6353475886
2473,-82.6032158435,38.1142618054
616261,-85.7594118868,38.2542448919
639,-83.3540758837,36.8520398209
4524,-84.547448094,39.0925673081
694,-82.9223879622,36.9662115617
227,-85.0674643476,37.7367427228
19399,-87.4988935212,37.3281075325
1391,-83.7618683232,37.1537078651
2981,-88.0811403873,37.332835606
591,-82.7526629521,37.5728836906
9999,-88.6367210019,36.7417303662
8866,-83.7443693215,38.6411928584
395,-86.9224985595,37.3819977694
788,-83.9979877121,37.4303712094
467,-84.3663324361,39.0297918043
210,-84.2463289895,38.8872960827
9626,-83.7165865741,36.6084225569
1706,-84.6838389645,38.1509150207
792,-84.1474341166,38.3020273742
562,-85.369406608,38.7236787997
135,-84.8724539397,38.4220203647
7758,-83.4326882958,38.1839778823
3543,-87.9166970668,37.6833846801
2453,-86.6836048797,37.2256093501
846,-87.4752814079,37.2367185162
349,-84.0368764011,38.5314704239
7242,-83.9432599394,38.0564752356
2486,-84.3404963076,37.3528686798
14360,-85.5457925093,38.0500699621
987,-85.9916357312,37.9370230197
1653,-85.8910867542,37.2722821954
19006,-88.3147665007,36.6103402555
229,-87.6427896665,37.3836630358
937,-85.1696815272,38.4334076534
896,-85.5910775942,37.6578468837
15241,-84.4957802792,39.0914565104
30006,-84.5730006121,37.880641373
646,-84.1113208951,38.1450845457
1181,-87.4527820983,37.1908847082
7370,-87.4427930581,36.6650540056
234,-86.2483226422,37.0419957339
1591,-83.1740695278,38.3000883172
59273,-87.1133356435,37.7742223356
1539,-84.8418972392,38.5364633877
1592,-83.7640889923,38.1448088603
25145,-88.6000534163,37.0833962331
4203,-82.8071093844,37.8145457376
9840,-84.2529913414,38.2098060515
562,-86.0463718863,37.0939445532
2999,-84.5321697878,39.0714566047
874,-87.3555674403,36.775884931
766,-84.9516280069,37.6503582112
1547,-85.4874643116,38.3106321147
7106,-82.5187667764,37.4792744822
1756,-83.6949217787,36.7620371889
851,-85.115236505,38.3459095383
498,-86.3813823781,37.0183833233
734,-87.1591679168,37.2369941302
3541,-82.7715525634,37.6656600089
159,-85.1902363518,38.6797919995
6119,-87.8819649144,37.1092231721
3102,-87.7627952022,37.3975520332
2384,-82.728501611,38.5400877831
22490,-85.9491347113,37.8403528026
586,-83.9529834151,37.6845344624
135,-85.4305240401,37.560347972
34652,-84.2946583206,37.7478644597
509,-87.5466800598,37.6739395956
154,-86.893054439,37.2125511377
271,-86.9961113774,37.3339400564
3244,-82.6976671005,38.5173102808
2554,-85.0885713058,37.0561858878
